id,content,label,year,month,day,year_month,year_season,weight
755548076438196225,"colombus, ohio police officer served sandwich with shards of glass. url",rumor,2016,7,19,2016-07,2016-03,1.0
716416753409081344,"hearing that bernie sanders flipped clark county in nevada at state convention, may have won the entire state #feelthebern",rumor,2016,4,3,2016-04,2016-02,1.0
692374052082708480,report: spider url,truth,2016,1,27,2016-01,2016-01,1.0
500378522788315137,#ferguson police: officer involved in fatal shooting of michael brown didn't know he was suspect in alleged robbery. url,rumor,2014,8,15,2014-08,2014-03,1.0
533811170889568256,uk jihadi john is 'wounded in us airstrike on secret bunker meeting of isis high command' url url,rumor,2014,11,16,2014-11,2014-04,1.0
542423103834296323,#selena's killer & former fan club president will not be released early from prison! url url,rumor,2014,12,9,2014-12,2014-04,1.0
656595123590012928,10 'back to the future' predictions that actually came true url url,rumor,2015,10,20,2015-10,2015-04,1.0
692840850141753347,james mcavoy makes that another vote for #batman. do you agree? let us know with '#empirebvs'. url,truth,2016,1,28,2016-01,2016-01,1.0
525300042207612928,pictured: kevin vickers moments after shooting dead canadian parliament attacker url url,truth,2014,10,23,2014-10,2014-04,1.0
616311563071434753,apologies if you've already seen a crow riding a bald eagle today. image: phoo chan story: url url,truth,2015,7,1,2015-07,2015-03,1.0
509478961705807872,microsoft to buy mojang for $2 billion - report. deal to be finalised as early as this week. url url,truth,2014,9,9,2014-09,2014-03,1.0
553587672137334785,afp: suspected #charliehebdo gunmen have been killed,truth,2015,1,9,2015-01,2015-01,1.0
667379734343471104,donald trump is the new adolf hitler url,rumor,2015,11,19,2015-11,2015-04,1.0
687643002240679936,"three men found guilty of involvement in ""largest burglary in english legal history"" at hatton garden url",truth,2016,1,14,2016-01,2016-01,1.0
714560810266132480,"letter to trump voters from his top strategist-turned-defector - i don’t know if this is real, but it’s believable. url",rumor,2016,3,28,2016-03,2016-01,1.0
525024181218725888,"cpl. nathan cirillo, 24, identified as the soldier who was shot, killed at the war memorial today. #cbcott #ottnews url",truth,2014,10,22,2014-10,2014-04,1.0
501785003144273921,nbc: arrest records show #ferguson cops jailed twice as many people last night as they originally claimed. url,rumor,2014,8,19,2014-08,2014-03,1.0
687673284436082689,harry potter stars react to the tragic news of alan rickman's death: url url,truth,2016,1,14,2016-01,2016-01,1.0
693214543615561729,"a #gilmoregirls revival is coming to , with and url url",truth,2016,1,29,2016-01,2016-01,1.0
693853982293254144,".: ""it's disgraceful that this is...the mosque that [] picked to be the first visit."" url",truth,2016,1,31,2016-01,2016-01,1.0
538847758032310272,darren wilson told the post-dispatch that he was not paid for the abc news interview. #ferguson via url,rumor,2014,11,30,2014-11,2014-04,1.0
676120162018451456,"months ago, rupert murdoch bought national geographic and fired most of writers. this just hit the stands. url",rumor,2015,12,13,2015-12,2015-04,1.0
613362193787129860,"the kissing islands, greenland. url",rumor,2015,6,23,2015-06,2015-02,1.0
674263945172119552,1.15 million americans have been killed by guns since john lennon's death url url,truth,2015,12,8,2015-12,2015-04,1.0
544511199702822913,police move in: police confirm live ammunition used in martin place #sydneysiege,truth,2014,12,15,2014-12,2014-04,1.0
407173794583695360,paul walker's genuinely admirable history of organizing & participating in international disaster relief missions: url,truth,2013,12,1,2013-12,2013-04,1.0
740791134146965504,dear you're not the 1st woman presidential candidate. victoria woodhull is. look url,rumor,2016,6,9,2016-06,2016-02,1.0
692742353736568833,"man arrested with two firearms at entrance to hotel at disneyland paris, french media report url",truth,2016,1,28,2016-01,2016-01,1.0
544328894812549121,"#sydneysiege: hostage-takers ‘have suicide belts, demand radio convo with #abbott’ – report url url",rumor,2014,12,15,2014-12,2014-04,1.0
692765809425408000,gerrymandering is even more infuriating when you can actually see it url url,truth,2016,1,28,2016-01,2016-01,1.0
612438528803213312,"after police arrested #dylannroof, they went and bought him burger king because he was hungry. #charlestonshooting url",rumor,2015,6,21,2015-06,2015-02,1.0
706933939953344514,bernie sanders speaking about institutional racism url,rumor,2016,3,7,2016-03,2016-01,1.0
524950507023245313,listen to our live special coverage of parliament hill shooting here url url,truth,2014,10,22,2014-10,2014-04,1.0
693524179597955072,ben simmons could be 1st sec player since shaq to average a 20-10. t-minus 2 hours till he faces no. 1 ou on espn. url,truth,2016,1,30,2016-01,2016-01,1.0
489872500462190593,new. leaked phone call between rebel leader & russian intel agent: “cossacks” shot down #mh17. url url,rumor,2014,7,17,2014-07,2014-03,1.0
514517470238240768,and here's a guy bending an iphone 6 plus with his bare hands url url,rumor,2014,9,23,2014-09,2014-03,1.0
509464271118688257,source: microsoft in discussions to buy 'minecraft' maker mojang for more than $2 billion - url,truth,2014,9,9,2014-09,2014-03,1.0
407187197427593217,"""paul walker's character in fast and the furious was named ""brian"",brian from family guy also died this week,both deaths involved cars."" umm",truth,2013,12,1,2013-12,2013-04,1.0
